Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-19 09:15:00+05:30,19802.94921875,19828.75,19787.94921875,19821.650390625,0,0,0
2023-07-19 09:30:00+05:30,19820.94921875,19828.75,19796.94921875,19805.30078125,0,0,0
2023-07-19 09:45:00+05:30,19805.400390625,19841.150390625,19804.44921875,19836.44921875,0,0,0
2023-07-19 10:00:00+05:30,19836.849609375,19838.55078125,19815.30078125,19826.150390625,0,0,0
2023-07-19 10:15:00+05:30,19825.849609375,19827.900390625,19812.19921875,19817.349609375,0,0,0
2023-07-19 10:30:00+05:30,19816.849609375,19820.349609375,19776.650390625,19780.0,0,0,0
2023-07-19 10:45:00+05:30,19780.599609375,19788.5,19760.44921875,19768.25,0,0,0
2023-07-19 11:00:00+05:30,19767.55078125,19769.150390625,19745.25,19746.150390625,0,0,0
2023-07-19 11:15:00+05:30,19745.69921875,19760.19921875,19731.55078125,19759.80078125,0,0,0
2023-07-19 11:30:00+05:30,19759.150390625,19761.150390625,19733.30078125,19749.75,0,0,0
2023-07-19 11:45:00+05:30,19749.75,19752.650390625,19727.55078125,19732.599609375,0,0,0
2023-07-19 12:00:00+05:30,19731.599609375,19755.25,19730.30078125,19736.599609375,0,0,0
2023-07-19 12:15:00+05:30,19736.80078125,19761.849609375,19735.900390625,19755.25,0,0,0
2023-07-19 12:30:00+05:30,19755.19921875,19780.900390625,19751.599609375,19777.80078125,0,0,0
2023-07-19 12:45:00+05:30,19778.150390625,19790.900390625,19770.650390625,19778.0,0,0,0
2023-07-19 13:00:00+05:30,19777.599609375,19790.25,19774.849609375,19788.94921875,0,0,0
2023-07-19 13:15:00+05:30,19788.5,19798.55078125,19769.849609375,19769.849609375,0,0,0
2023-07-19 13:30:00+05:30,19769.650390625,19792.099609375,19763.900390625,19785.30078125,0,0,0
2023-07-19 13:45:00+05:30,19785.0,19796.5,19774.650390625,19786.05078125,0,0,0
2023-07-19 14:00:00+05:30,19785.55078125,19801.5,19779.44921875,19781.099609375,0,0,0
2023-07-19 14:15:00+05:30,19780.80078125,19784.099609375,19758.75,19776.55078125,0,0,0
2023-07-19 14:30:00+05:30,19775.849609375,19786.0,19769.5,19773.30078125,0,0,0
2023-07-19 14:45:00+05:30,19771.849609375,19803.44921875,19765.5,19801.69921875,0,0,0
2023-07-19 15:00:00+05:30,19802.599609375,19838.19921875,19802.599609375,19833.19921875,0,0,0
2023-07-19 15:15:00+05:30,19833.400390625,19849.19921875,19832.19921875,19847.150390625,0,0,0
2023-07-20 09:15:00+05:30,19831.69921875,19840.44921875,19788.400390625,19813.349609375,0,0,0
2023-07-20 09:30:00+05:30,19813.5,19837.44921875,19778.80078125,19781.80078125,0,0,0
2023-07-20 09:45:00+05:30,19782.349609375,19782.349609375,19758.849609375,19760.099609375,0,0,0
2023-07-20 10:00:00+05:30,19758.44921875,19818.0,19758.44921875,19787.349609375,0,0,0
2023-07-20 10:15:00+05:30,19786.94921875,19834.900390625,19782.69921875,19831.75,0,0,0
2023-07-20 10:30:00+05:30,19831.599609375,19847.25,19825.5,19829.849609375,0,0,0
2023-07-20 10:45:00+05:30,19829.349609375,19838.80078125,19819.44921875,19830.55078125,0,0,0
2023-07-20 11:00:00+05:30,19830.900390625,19840.75,19826.349609375,19830.80078125,0,0,0
2023-07-20 11:15:00+05:30,19831.099609375,19833.94921875,19814.900390625,19833.650390625,0,0,0
2023-07-20 11:30:00+05:30,19833.19921875,19845.25,19829.849609375,19841.19921875,0,0,0
2023-07-20 11:45:00+05:30,19840.80078125,19853.05078125,19833.75,19849.849609375,0,0,0
2023-07-20 12:00:00+05:30,19850.150390625,19869.400390625,19846.0,19860.150390625,0,0,0
2023-07-20 12:15:00+05:30,19860.5,19874.0,19851.900390625,19872.94921875,0,0,0
2023-07-20 12:30:00+05:30,19873.150390625,19887.25,19872.80078125,19881.30078125,0,0,0
2023-07-20 12:45:00+05:30,19881.5,19898.44921875,19880.5,19893.05078125,0,0,0
2023-07-20 13:00:00+05:30,19893.400390625,19902.44921875,19888.099609375,19899.30078125,0,0,0
2023-07-20 13:15:00+05:30,19898.05078125,19918.69921875,19897.69921875,19912.400390625,0,0,0
2023-07-20 13:30:00+05:30,19912.75,19926.099609375,19887.69921875,19904.55078125,0,0,0
2023-07-20 13:45:00+05:30,19905.30078125,19932.25,19903.400390625,19929.05078125,0,0,0
2023-07-20 14:00:00+05:30,19929.349609375,19947.19921875,19925.900390625,19942.25,0,0,0
2023-07-20 14:15:00+05:30,19943.150390625,19967.5,19941.150390625,19960.5,0,0,0
2023-07-20 14:30:00+05:30,19961.75,19982.099609375,19949.900390625,19949.900390625,0,0,0
2023-07-20 14:45:00+05:30,19949.44921875,19960.69921875,19935.44921875,19956.099609375,0,0,0
2023-07-20 15:00:00+05:30,19957.69921875,19990.80078125,19957.30078125,19987.05078125,0,0,0
2023-07-20 15:15:00+05:30,19987.19921875,19987.55078125,19965.400390625,19969.94921875,0,0,0
2023-07-21 09:15:00+05:30,19800.44921875,19886.349609375,19780.69921875,19846.099609375,0,0,0
2023-07-21 09:30:00+05:30,19845.69921875,19854.69921875,19807.400390625,19823.80078125,0,0,0
2023-07-21 09:45:00+05:30,19823.25,19876.099609375,19816.19921875,19868.44921875,0,0,0
2023-07-21 10:00:00+05:30,19867.80078125,19869.099609375,19826.650390625,19843.69921875,0,0,0
2023-07-21 10:15:00+05:30,19844.599609375,19844.599609375,19799.05078125,19810.44921875,0,0,0
